year,Q,month
1859,102.354432491578,1
1860,84.2748017247975,1
1861,105.930282137148,1
1862,88.9585078115555,1
1863,115.976873263598,1
1864,85.2039767166173,1
1865,87.3134093404991,1
1866,110.930411562161,1
1867,92.0780636562936,1
1868,100.429149138065,1
1869,80.2978370063024,1
1870,85.2771498051215,1
1871,120.081524628222,1
1872,87.0111597665948,1
1873,66.3267981554266,1
1874,68.6498982534162,1
1875,97.7937399532254,1
1876,57.2231514558317,1
1877,44.9473087111669,1
1878,67.2181508908379,1
1879,122.500727375343,1
1880,118.47288770699,1
1881,86.422102028652,1
1882,79.2072135695001,1
1883,84.8874833519731,1
1884,58.9682940017383,1
1885,61.3366093907777,1
1886,58.8419575177838,1
1887,58.4644576067675,1
1888,38.104114222645,1
1889,52.7275697658922,1
1890,92.999518768218,1
1891,77.0217018139536,1
1892,65.9793191428015,1
1893,106.032974411779,1
1894,95.2104341792948,1
1895,90.9774498656837,1
1896,73.0958414326683,1
1897,46.1782344812846,1
1898,56.6184468360617,1
1899,49.1631004760055,1
1900,69.6572821908053,1
1901,81.9413583243944,1
1902,59.9149925171408,1
1903,35.5652838026208,1
1904,75.8668701062059,1
1905,60.354424510029,1
1906,57.635222672973,1
1907,56.3903878294792,1
1908,76.9636672943513,1
1909,111.051797130274,1
1910,107.546804880736,1
1911,102.029232520138,1
1912,56.845527944737,1
1913,48.5672206054491,1
1914,52.6188826811789,1
1915,83.7600131266144,1
1916,92.2532693984324,1
1917,116.753488094934,1
1918,83.5488481040253,1
1919,56.8960991133851,1
1920,52.9972320877195,1
1921,73.4135773056842,1
1922,101.648079743353,1
1923,70.9160939499133,1
1924,71.1595789382252,1
1925,58.1011654878332,1
1926,70.1285445361667,1
1927,80.3230749934599,1
1928,69.7529596861452,1
1929,64.8215037450759,1
1930,49.5181456441171,1
1931,44.2044966722284,1
1932,46.1754428453453,1
1933,60.2830922681343,1
1934,74.9776211392126,1
1935,76.5439686134571,1
1936,62.7186199173259,1
1937,55.4694945023508,1
1938,95.6447703226826,1
1939,129.161703356103,1
1940,123.784128743142,1
1941,75.6001709744762,1
1942,88.7545494572703,1
1943,89.3892961176647,1
1944,126.303770370486,1
1945,104.894496192501,1
1946,86.3778736642807,1
1947,109.925907880977,1
1948,78.0318199984111,1
1949,69.6024395312046,1
1950,113.343239614754,1
1951,102.559000499788,1
1952,91.8146571993714,1
1953,88.8488486689637,1
1954,99.4761807379491,1
1955,99.8923042620123,1
1956,90.5299597646262,1
1957,66.2959356882686,1
1958,41.8753135226487,1
1959,54.4376363332665,1
1960,74.0217752202555,1
1961,82.3057431570111,1
1962,99.9850683301656,1
1963,87.8075755666943,1
1964,83.5787131571782,1
1965,80.502827633897,1
1966,81.5983203838004,1
1967,76.8446984589249,1
1968,54.8628426893919,1
1969,49.7975343537853,1
1970,43.6058252176354,1
1971,92.3201729958696,1
1972,105.459882840944,1
1973,101.515381881327,1
1974,98.292939492261,1
1975,101.157357305828,1
1976,101.178295465585,1
1977,88.9766851608068,1
1978,104.298598180584,1
1979,37.7394004683036,1
1980,22.6702812011397,1
1981,50.8095700888845,1
1982,68.1247442121641,1
1983,50.3891531768298,1
1984,54.6817737350351,1
1985,45.6644238693536,1
1986,42.9405911879681,1
1987,41.0573945916355,1
1988,61.1921561763812,1
1989,41.6611685597802,1
1990,69.7682730160946,1
1991,48.4354486974564,1
1992,65.4933105403031,1
1993,64.4507368549519,1
1994,49.0532003529065,1
1995,49.83704760976,1
1996,69.5819347126712,1
1997,46.8588297664879,1
1998,13.5373765433998,1
1999,37.6605604799784,1
