year,Q,month
1803,13.3977462402475,3
1804,8.09386900886376,3
1805,13.8963509421938,3
1806,8.61395608404945,3
1807,11.638584793257,3
1808,7.6622895508733,3
1809,7.01875370175978,3
1810,3.69566338992665,3
1811,10.6659323916831,3
1812,7.57839490026584,3
1813,9.7809373750858,3
1814,13.0084561205317,3
1815,10.5558911403967,3
1816,12.3833339167767,3
1817,9.08511005707311,3
1818,8.97660242240056,3
1819,9.79150981870758,3
1820,8.89498229680712,3
1821,8.76011466020929,3
1822,4.36863322004544,3
1823,12.286793114358,3
1824,11.9456437465424,3
1825,9.89530529144432,3
1826,12.5016905608276,3
1827,3.97780341429496,3
1828,2.78803287901322,3
1829,7.87264939090067,3
1830,10.090048778165,3
1831,8.77716037009115,3
1832,7.51781355028813,3
1833,10.2394957123872,3
1834,6.67144885490362,3
1835,6.09005456350061,3
1836,8.49093893883758,3
1837,10.8747070601586,3
1838,3.74401639624437,3
1839,7.68627144698448,3
1840,5.52337027198774,3
1841,3.26403572594595,3
1842,3.28214183375805,3
1843,5.06556089771056,3
1844,7.52033543168944,3
1845,10.000504979437,3
1846,9.68576446567416,3
1847,11.9140377204742,3
1848,5.821073516785,3
1849,11.6764199811324,3
1850,11.2303529561548,3
1851,3.95564086872924,3
1852,7.90502725374197,3
1853,6.94246652588207,3
1854,7.66602670971092,3
1855,4.93194078977067,3
1856,2.77596039024033,3
1857,8.51456747575187,3
1858,7.61370217569606,3
1859,15.8622336547801,3
1860,13.5209828643264,3
1861,7.18771626680198,3
1862,14.4642998849254,3
1863,14.4906775020282,3
1864,16.5981950916828,3
1865,10.4152151106607,3
1866,14.1723881556293,3
1867,7.93657267817886,3
1868,11.5864775095866,3
1869,9.15590441016785,3
1870,1.01652495724392,3
1871,6.47920281631011,3
1872,9.85161404015756,3
1873,9.86651922826948,3
1874,4.61653762326318,3
1875,5.09535159843006,3
1876,7.3890925569277,3
1877,5.07159580296219,3
1878,1.99525318875231,3
1879,6.41444462743494,3
1880,5.67989753538555,3
1881,3.79022218345678,3
1882,4.95625800229578,3
1883,1.80851332014073,3
1884,10.1093780593835,3
1885,16.3652686258661,3
1886,7.86832799211282,3
1887,11.9944849366659,3
1888,12.4560204742968,3
1889,6.23848428384093,3
1890,9.05855090316408,3
1891,2.63576454787499,3
1892,6.41877087496046,3
1893,2.45494824584621,3
1894,8.74208599169068,3
1895,12.0634466102249,3
1896,7.94527161969427,3
1897,8.08602595934447,3
1898,6.57366318396344,3
1899,2.96532504795181,3
1900,9.69617244269678,3
1901,14.4268449184277,3
1902,15.2258072159908,3
1903,10.2135530385935,3
1904,13.9503822354779,3
1905,6.91069720079698,3
1906,7.86135260873479,3
1907,7.53218737645812,3
1908,8.97788858946267,3
1909,6.02238653256891,3
1910,8.56714462403815,3
1911,11.6016672756912,3
1912,8.54770186539856,3
1913,5.43631910354184,3
1914,3.88846135751494,3
1915,8.42317507942502,3
1916,9.63445727195029,3
1917,6.3773460704406,3
1918,9.15612105313128,3
1919,1.35049704292397,3
1920,10.810030956993,3
1921,12.1074647194214,3
1922,12.4842566935641,3
1923,15.3799847823928,3
1924,5.27920154388791,3
1925,6.99765412150693,3
1926,9.8894640451654,3
1927,10.8185258022387,3
1928,5.68041375124627,3
1929,11.4449890447437,3
1930,13.0569108516161,3
1931,8.13273776534364,3
1932,9.96803545437314,3
1933,7.22152569784357,3
1934,10.4099091457793,3
1935,12.4354022099309,3
1936,11.7954610200419,3
1937,8.31931207226563,3
1938,11.3585649631082,3
1939,16.7597305659964,3
1940,17.0633463044459,3
1941,16.4514279075196,3
1942,8.71864446137133,3
1943,11.5878636124011,3
1944,8.06836640715958,3
1945,14.8340841571061,3
1946,8.99146977985236,3
1947,10.9881897089977,3
1948,16.3139031933185,3
1949,9.29970452355392,3
1950,9.68320903261185,3
1951,9.19255989668825,3
1952,9.77026580403992,3
1953,10.6676672442467,3
1954,9.04152008261322,3
1955,13.0060325621528,3
1956,3.81363272964014,3
1957,8.99427469514503,3
1958,4.79732914261619,3
1959,3.17814393473161,3
1960,0.929285503881138,3
1961,8.27058544417682,3
1962,3.73380450079986,3
1963,9.86047434840714,3
1964,8.77922620214938,3
1965,8.01685267091076,3
1966,7.87557813979933,3
1967,12.1674166478719,3
1968,8.42280782003001,3
1969,4.39965616727794,3
1970,8.46966715354638,3
1971,6.11330985975275,3
1972,9.86947289060262,3
1973,9.42458057606409,3
1974,10.3172033668502,3
1975,9.90206835132397,3
1976,15.0730013438801,3
1977,15.4342088001144,3
1978,10.1273801121026,3
1979,10.3396925917346,3
1980,7.73960106232943,3
1981,8.68672784651045,3
1982,9.71671906142274,3
1983,10.7731493940941,3
1984,8.17664620388006,3
1985,9.00851024748965,3
1986,6.16317510921778,3
1987,9.27247188439929,3
1988,3.59258487083403,3
1989,2.45911827423648,3
1990,4.79269393648992,3
1991,7.00585449816707,3
1992,3.17581454158834,3
1993,8.89436484463996,3
1994,10.3352294615317,3
1995,9.63959707415298,3
1996,13.1567947978195,3
1997,13.5777307916604,3
1998,7.15894624128223,3
1999,3.49389368290025,3
2000,3.67636939261733,3
2001,5.25406236476227,3
2002,16.8806629869012,3
2003,11.8822948990931,3
1750,9.04643825389472,4
1751,12.088344406567,4
1752,9.66165303917307,4
