year,month,Q
1981,12,77.31
1982,1,53.64
1982,2,32.88
1982,3,23.6
1982,4,52.48
1982,5,51.79
1982,6,101.75
1982,7,453.47
1982,8,666.42
1982,9,843.32
1982,10,506.09
1982,11,131.97
1982,12,83.38
1983,1,59.57
1983,2,31.25
1983,3,24.2
1983,4,17.79
1983,5,61.78
1983,6,92.36
1983,7,443.91
1983,8,941.28
1983,9,858.95
1983,10,569.43
1983,11,221.7
1983,12,102.49
1984,1,54.8
1984,2,30.8
1984,3,18.01
1984,4,22.08
1984,5,109.83
1984,6,186.25
1984,7,870.36
1984,8,1203.31
1984,9,1134.07
1984,10,391.33
1984,11,133.16
1984,12,76.55
1985,1,40.09
1985,2,23.24
1985,3,15.51
1985,4,40.71
1985,5,44.04
1985,6,108.42
1985,7,394.86
1985,8,1236.21
1985,9,535.9
1985,10,188.92
1985,11,164.6
1985,12,87.28
1986,1,51.85
1986,2,29.72
1986,3,23.98
1986,4,35.4
1986,5,184.79
1986,6,166.72
1986,7,481.35
1986,8,461.44
1986,9,333.22
1986,10,176.36
1986,11,96.38
1986,12,52.57
1987,1,36.04
1987,2,25.56
1987,3,22.58
1987,4,16.32
1987,5,25.5
1987,6,56.23
1987,7,82.87
1987,8,417.4
1987,9,283.6
1987,10,186.62
1987,11,120.88
1987,12,64.77
1988,1,39.76
1988,2,26.78
1988,3,23.15
1988,4,21.12
1988,5,84.26
1988,6,130.87
1988,7,394.8
1988,8,849.23
1988,9,298.21
1988,10,158.82
1988,11,72.87
1988,12,40.88
1989,1,26.4
1989,2,19.58
1989,3,19.6
1989,4,14.81
1989,5,61.67
1989,6,113.26
1989,7,414.86
1989,8,491.03
1989,9,615.14
1989,10,262.56
1989,11,96.25
1989,12,54.07
1990,1,35.43
1990,2,27.64
1990,3,31.39
1990,4,24.61
1990,5,59.92
1990,6,155.24
1990,7,493.49
1990,8,557.65
1990,9,430.91
1990,10,201.37
1990,11,129.8
1990,12,67.6
1991,1,40.69
1991,2,22.55
1991,3,21.14
1991,4,22.77
1991,5,99.01
1991,6,136.08
1991,7,277.05
1991,8,566.44
1991,9,542.96
1991,10,227.55
1991,11,98.7
1991,12,63.55
1992,1,37.96
1992,2,22.09
1992,3,20.03
1992,4,15.03
1992,5,15.4
1992,6,32.72
1992,7,283.16
1992,8,414.06
1992,9,405.68
1992,10,230.65
1992,11,119.05
1992,12,114.08
1993,1,64.95
