year,Q,month
1935,52.2454911836236,1
1936,51.7577303386741,1
1937,49.8304278105081,1
1938,57.7901542316029,1
1939,56.3928495216315,1
1940,49.868925697459,1
1941,61.7176472349524,1
1942,62.9678751407602,1
1943,54.0067801882455,1
1944,49.1054356705183,1
1945,48.1505792835068,1
1946,47.9987359221634,1
1947,53.6342734137384,1
1948,52.706036118255,1
1949,52.0288113204578,1
1950,60.3302809064101,1
1951,57.493641707183,1
1952,59.9153545473826,1
1953,48.9157905673061,1
1954,59.629699640254,1
1955,46.7305308161465,1
1956,51.1649822163752,1
1957,51.9133887656317,1
1958,41.6061179446265,1
1959,28.101787650515,1
1960,41.7310139053226,1
1961,38.3004697922162,1
1962,42.9064851858568,1
1963,37.3040424633818,1
1964,46.2517848945934,1
1965,44.1491773069566,1
