station,year,month,Q
p1,1795,Mar,48.8752538326863
p1,1795,Apr,18.5073187349043
p1,1795,May,91.4952433579903
p1,1795,Jun,121.724187259522
p1,1795,Jul,110.971658685833
p1,1795,Aug,147.438024329718
p1,1795,Sep,331.67497285916
p1,1795,Oct,191.756730291246
p1,1795,Nov,167.936136758413
p1,1795,Dec,136.839535997709
p1,1796,Jan,62.6889769950961
p1,1796,Feb,49.5752125883822
p1,1796,Mar,55.2291165627984
p1,1796,Apr,33.7970525209349
p1,1796,May,84.898462117167
p1,1796,Jun,181.564408230182
p1,1796,Jul,155.584264563618
p1,1796,Aug,404.94995036127
p1,1796,Sep,460.257553217662
p1,1796,Oct,305.59722643336
p1,1796,Nov,192.066272765769
p1,1796,Dec,169.775880081344
p1,1797,Jan,99.2085222179023
p1,1797,Feb,56.4559454633106
p1,1797,Mar,38.6770061659046
p1,1797,Apr,47.8082591097006
p1,1797,May,119.817986731915
p1,1797,Jun,194.516004418981
p1,1797,Jul,218.887909770396
p1,1797,Aug,389.124833567819
p1,1797,Sep,425.680645799838
p1,1797,Oct,387.265345813228
p1,1797,Nov,219.576833777012
p1,1797,Dec,170.517175560581
p1,1798,Jan,83.3970984834609
p1,1798,Feb,58.8168249575642
p1,1798,Mar,53.5675649874264
p1,1798,Apr,47.6811182872631
p1,1798,May,109.082064166864
p1,1798,Jun,125.781643237381
p1,1798,Jul,221.570488313349
p1,1798,Aug,396.433904763892
p1,1798,Sep,524.254243526897
p1,1798,Oct,368.976456730156
p1,1798,Nov,180.184937236838
p1,1798,Dec,139.462837003157
p1,1799,Jan,62.8152274203678
p1,1799,Feb,49.8565971902246
p1,1799,Mar,49.2406174408945
p1,1799,Apr,39.8830448149004
p1,1799,May,110.600766760479
p1,1799,Jun,132.498866812583
p1,1799,Jul,137.60729703559
p1,1799,Aug,295.218949254147
p1,1799,Sep,492.669857686578
p1,1799,Oct,319.297248267377
p1,1799,Nov,182.757198406268
p1,1799,Dec,147.38860374838
p1,1800,Jan,87.7098926254269
p1,1800,Feb,54.3252288327524
p1,1800,Mar,54.5946398267283
p1,1800,Apr,48.5933660537191
p1,1800,May,111.652996206311
p1,1800,Jun,152.554545174039
p1,1800,Jul,267.158399876677
p1,1800,Aug,414.106349471203
p1,1800,Sep,532.845692821708
p1,1800,Oct,362.23622426764
p1,1800,Nov,228.08289373182
p1,1800,Dec,155.547440753821
p1,1801,Jan,108.260582488645
p1,1801,Feb,64.5063626991988
p1,1801,Mar,44.5306579053732
p1,1801,Apr,60.3895151175698
p1,1801,May,124.678114970441
p1,1801,Jun,196.097858750268
p1,1801,Jul,299.026262348949
p1,1801,Aug,562.024712333565
p1,1801,Sep,515.285963316327
p1,1801,Oct,514.904159161293
p1,1801,Nov,227.047885488171
p1,1801,Dec,150.361768728569
p1,1802,Jan,112.559818502044
p1,1802,Feb,74.5367187161512
p1,1802,Mar,39.2573289127202
p1,1802,Apr,62.8096754128503
p1,1802,May,89.1340635328754
p1,1802,Jun,76.7348012780882
p1,1802,Jul,220.08661655881
p1,1802,Aug,296.814975005808
p1,1802,Sep,356.560307580987
p1,1802,Oct,376.790329613441
p1,1802,Nov,154.604956025248
p1,1802,Dec,119.300798641989
p1,1803,Jan,59.193922818754
p1,1803,Feb,60.2012248609506
p1,1803,Mar,35.2641569771871
p1,1803,Apr,52.6500991569572
p1,1803,May,46.1549880818685
p1,1803,Jun,9.75201742600795
p1,1803,Jul,55.6489657851671
p1,1803,Aug,176.568079942506
p1,1803,Sep,269.434239811219
p1,1803,Oct,230.388682896401
p1,1803,Nov,119.402709754588
p1,1803,Dec,127.455115069888
p1,1804,Jan,97.3636654663398
p1,1804,Feb,52.0139433654081
p1,1804,Mar,36.8435358629999
p1,1804,Apr,21.9958456128863
p1,1804,May,85.6416596904577
p1,1804,Jun,95.9978266790483
p1,1804,Jul,116.2549911095
p1,1804,Aug,252.73888713376
p1,1804,Sep,408.931065528917
p1,1804,Oct,180.856608165451
p1,1804,Nov,154.158908175649
p1,1804,Dec,121.433386565849
p1,1805,Jan,69.5927547615343
p1,1805,Feb,35.6794321254543
p1,1805,Mar,59.9162134647468
p1,1805,Apr,53.8085755216196
p1,1805,May,149.368892106228
p1,1805,Jun,193.340624418917
p1,1805,Jul,153.948954024836
p1,1805,Aug,345.24187609958
p1,1805,Sep,272.273524420786
p1,1805,Oct,294.041011916812
p1,1805,Nov,159.397582991014
p1,1805,Dec,118.873797472814
p1,1806,Jan,93.8564658987395
p1,1806,Feb,44.9327017878074
p1,1806,Mar,54.6088474425278
p1,1806,Apr,48.8535346752088
p1,1806,May,155.426978971421
p1,1806,Jun,177.186915117927
p1,1806,Jul,266.096217223231
p1,1806,Aug,452.019682886041
p1,1806,Sep,456.967714455884
p1,1806,Oct,373.779653375913
p1,1806,Nov,197.257543729418
p1,1806,Dec,119.347098485682
p1,1807,Jan,82.9918767675345
p1,1807,Feb,49.0864823121653
p1,1807,Mar,66.4122278936336
p1,1807,Apr,52.9820996883454
p1,1807,May,108.8728406499
p1,1807,Jun,112.447354317765
p1,1807,Jul,201.088579140053
p1,1807,Aug,289.264819161375
p1,1807,Sep,331.336269381699
p1,1807,Oct,359.13972054155
p1,1807,Nov,211.436197360096
p1,1807,Dec,127.752379989408
p1,1808,Jan,77.6204008155826
p1,1808,Feb,53.7067035237074
p1,1808,Mar,74.3053151397841
p1,1808,Apr,38.0935003671577
p1,1808,May,81.5234120640987
p1,1808,Jun,123.988210587684
p1,1808,Jul,158.454007515767
p1,1808,Aug,308.124736517707
p1,1808,Sep,434.070152174151
p1,1808,Oct,315.764987334637
p1,1808,Nov,230.426702566015
p1,1808,Dec,109.697973554976
p1,1809,Jan,66.6678650493174
p1,1809,Feb,45.2770726352937
p1,1809,Mar,81.7936298113727
p1,1809,Apr,50.4697194164648
p1,1809,May,100.502742170824
p1,1809,Jun,151.804827457073
p1,1809,Jul,178.337566895944
p1,1809,Aug,377.125223907758
p1,1809,Sep,535.486860427607
p1,1809,Oct,358.22849468148
p1,1809,Nov,252.602088557486
p1,1809,Dec,120.862071269221
p1,1810,Jan,80.9165960778343
p1,1810,Feb,62.746429150381
p1,1810,Mar,77.0849320750664
p1,1810,Apr,44.9065310605765
p1,1810,May,122.666712874701
p1,1810,Jun,150.499018186616
p1,1810,Jul,271.675557139658
p1,1810,Aug,389.538227130279
p1,1810,Sep,529.114740937119
p1,1810,Oct,422.025282130914
p1,1810,Nov,171.984194606069
p1,1810,Dec,102.004592040078
p1,1811,Jan,81.6006589758131
p1,1811,Feb,58.179244672222
p1,1811,Mar,61.3221285385021
p1,1811,Apr,29.5572431291855
p1,1811,May,110.136946581797
p1,1811,Jun,84.3710272645503
p1,1811,Jul,180.709793241422
p1,1811,Aug,337.072722042476
p1,1811,Sep,555.959498708661
p1,1811,Oct,326.326745632796
p1,1811,Nov,160.197856932955
p1,1811,Dec,109.839753660345
p1,1812,Jan,83.7764650546136
p1,1812,Feb,43.6365632588075
p1,1812,Mar,45.8652364441534
p1,1812,Apr,51.4826009266701
p1,1812,May,120.204952632537
p1,1812,Jun,132.545490809617
p1,1812,Jul,163.762650029605
p1,1812,Aug,334.055341371825
p1,1812,Sep,641.861858986793
p1,1812,Oct,308.271573520003
p1,1812,Nov,207.100514330903
p1,1812,Dec,154.258030354624
p1,1813,Jan,108.999723672305
p1,1813,Feb,58.082082534246
p1,1813,Mar,53.9707444710642
p1,1813,Apr,53.4487168868695
p1,1813,May,143.285546517254
p1,1813,Jun,133.349969093782
p1,1813,Jul,247.310002995328
p1,1813,Aug,420.475356631637
p1,1813,Sep,643.440015020664
p1,1813,Oct,383.92238460326
p1,1813,Nov,224.800647691605
p1,1813,Dec,166.37949342575
p1,1814,Jan,121.780522661372
p1,1814,Feb,48.7268393522886
p1,1814,Mar,49.205248170545
p1,1814,Apr,14.0118958496374
p1,1814,May,88.8665232481046
p1,1814,Jun,116.481812070931
p1,1814,Jul,141.934157087654
p1,1814,Aug,427.825277134097
p1,1814,Sep,512.703567501985
p1,1814,Oct,404.258333280513
p1,1814,Nov,235.341990916766
p1,1814,Dec,132.169808945382
p1,1815,Jan,103.784555013426
p1,1815,Feb,63.5462682884629
p1,1815,Mar,50.1455238787161
p1,1815,Apr,50.2917612405106
p1,1815,May,139.451193624008
p1,1815,Jun,141.728108094875
p1,1815,Jul,228.524135421785
p1,1815,Aug,414.562027958548
p1,1815,Sep,569.211341855131
p1,1815,Oct,418.999622516731
p1,1815,Nov,199.207379648383
p1,1815,Dec,113.415195039636
p1,1816,Jan,74.5438215645571
p1,1816,Feb,50.2519404571901
p1,1816,Mar,43.9002222515636
p1,1816,Apr,54.5832935409385
p1,1816,May,77.8213962469597
p1,1816,Jun,71.4501815354087
p1,1816,Jul,161.49814602883
p1,1816,Aug,244.431157410804
p1,1816,Sep,345.354751315714
p1,1816,Oct,304.672127614401
p1,1816,Nov,159.389662086864
p1,1816,Dec,112.023430939309
p1,1817,Jan,83.2116982566381
p1,1817,Feb,52.5622073216144
p1,1817,Mar,46.8319533109379
p1,1817,Apr,48.5687596557495
p1,1817,May,80.0595635931174
p1,1817,Jun,76.6223344140692
p1,1817,Jul,140.136101639435
p1,1817,Aug,288.679903690137
p1,1817,Sep,393.878708312495
p1,1817,Oct,268.109138743566
p1,1817,Nov,171.647870523619
p1,1817,Dec,140.500243719016
p1,1818,Jan,107.448586012449
p1,1818,Feb,56.3458562282226
p1,1818,Mar,37.8002453030184
p1,1818,Apr,36.5639958747693
p1,1818,May,126.029135606449
p1,1818,Jun,169.905912538771
p1,1818,Jul,250.447732464038
p1,1818,Aug,540.848268297172
p1,1818,Sep,541.240493535652
p1,1818,Oct,378.626731919625
p1,1818,Nov,220.219754166035
p1,1818,Dec,144.467496488983
p1,1819,Jan,124.8368673783
p1,1819,Feb,54.6429646207782
p1,1819,Mar,24.0949617429267
p1,1819,Apr,48.3782369567612
p1,1819,May,149.823022072482
p1,1819,Jun,210.555096855902
p1,1819,Jul,286.85709085818
p1,1819,Aug,523.622683252337
p1,1819,Sep,468.511542970887
p1,1819,Oct,539.96561227725
p1,1819,Nov,220.288328164378
p1,1819,Dec,127.691707388045
p1,1820,Jan,75.5319971543134
p1,1820,Feb,59.2796536091122
p1,1820,Mar,28.4390162718885
p1,1820,Apr,60.6833031413119
p1,1820,May,95.1167248212977
p1,1820,Jun,51.3066314561534
p1,1820,Jul,205.753522078754
p1,1820,Aug,297.282581868881
p1,1820,Sep,475.581770218984
p1,1820,Oct,423.728865511772
p1,1820,Nov,155.424251428516
p1,1820,Dec,87.9154716626473
p1,1821,Jan,26.7834358924845
p1,1821,Feb,51.0030812446753
p1,1821,Mar,40.381321005569
p1,1821,Apr,29.1232994179759
p1,1821,May,28.1076117706376
p1,1821,Jun,30.5888960550251
p1,1821,Jul,102.182223833052
p1,1821,Aug,285.385668942165
p1,1821,Sep,569.808420148578
p1,1821,Oct,249.220366327254
p1,1821,Nov,152.055229947575
p1,1821,Dec,104.684252494847
p1,1822,Jan,79.681570404667
p1,1822,Feb,64.406151666566
p1,1822,Mar,39.7702569064348
p1,1822,Apr,36.5918074870633
p1,1822,May,92.6413926089177
p1,1822,Jun,191.735811179548
p1,1822,Jul,282.371272377808
p1,1822,Aug,574.790021705074
p1,1822,Sep,545.142737783019
p1,1822,Oct,452.185924532194
p1,1822,Nov,188.310388832591
p1,1822,Dec,143.959116325291
p1,1823,Jan,91.7878769332234
p1,1823,Feb,48.6365877275135
p1,1823,Mar,22.4792394957429
p1,1823,Apr,26.2780418365752
p1,1823,May,96.442033799725
p1,1823,Jun,123.543396473398
p1,1823,Jul,188.692917555507
p1,1823,Aug,442.839964785226
p1,1823,Sep,457.478270182743
p1,1823,Oct,391.436382465296
p1,1823,Nov,183.738128014906
p1,1823,Dec,161.257570495716
p1,1824,Jan,90.2185642888644
p1,1824,Feb,57.4860206582599
p1,1824,Mar,10.1762146138536
p1,1824,Apr,28.8245964477301
p1,1824,May,66.3020365808408
p1,1824,Jun,61.1532868415418
p1,1824,Jul,69.3132954249712
p1,1824,Aug,244.324518085894
p1,1824,Sep,469.358173378394
p1,1824,Oct,255.82031088296
p1,1824,Nov,180.326383039008
p1,1824,Dec,151.116333993438
p1,1825,Jan,74.9962060330725
p1,1825,Feb,41.2552730503455
p1,1825,Mar,34.9761768140983
p1,1825,Apr,19.2611725723883
p1,1825,May,76.7179265196531
p1,1825,Jun,129.546097665669
p1,1825,Jul,78.5346730372884
p1,1825,Aug,290.666849017744
p1,1825,Sep,514.843896743056
p1,1825,Oct,224.40470733489
p1,1825,Nov,147.175722534272
p1,1825,Dec,120.745536061181
p1,1826,Jan,59.9050487531523
p1,1826,Feb,33.5460865529587
p1,1826,Mar,16.9206356585315
p1,1826,Apr,26.3619670462842
p1,1826,May,80.8050644550805
p1,1826,Jun,145.498020295537
p1,1826,Jul,120.887571602253
p1,1826,Aug,312.984388764638
p1,1826,Sep,331.406285850686
p1,1826,Oct,249.071492501377
p1,1826,Nov,171.25849364202
p1,1826,Dec,120.378862411147
p1,1827,Jan,55.2320336564831
p1,1827,Feb,35.3588807373801
p1,1827,Mar,21.7023458836845
p1,1827,Apr,20.2894477029934
p1,1827,May,75.6930360597121
p1,1827,Jun,132.867642363241
p1,1827,Jul,141.949966962992
p1,1827,Aug,396.605833531716
p1,1827,Sep,362.20710139283
p1,1827,Oct,299.721923588937
p1,1827,Nov,161.680787098042
p1,1827,Dec,126.202419444671
p1,1828,Jan,50.4204107018431
p1,1828,Feb,39.4798450422982
p1,1828,Mar,40.5227383828138
p1,1828,Apr,8.38245814609951
p1,1828,May,61.1500137471606
p1,1828,Jun,148.697726086929
p1,1828,Jul,161.731804167877
p1,1828,Aug,429.039577583259
p1,1828,Sep,417.346424829807
p1,1828,Oct,335.904913277647
p1,1828,Nov,186.098633743164
p1,1828,Dec,141.081816285463
p1,1829,Jan,73.0018785678248
p1,1829,Feb,54.8752291819174
p1,1829,Mar,50.2337235189046
p1,1829,Apr,32.3761904507502
p1,1829,May,75.6618174050236
p1,1829,Jun,157.519876940299
p1,1829,Jul,158.977336163492
p1,1829,Aug,450.92921629667
p1,1829,Sep,461.238096594177
p1,1829,Oct,375.949540358833
p1,1829,Nov,238.099264610956
p1,1829,Dec,130.035925230317
p1,1830,Jan,73.7119140620071
p1,1830,Feb,68.2991801189756
p1,1830,Mar,49.557385389541
p1,1830,Apr,29.9833388656699
p1,1830,May,106.587506707823
p1,1830,Jun,156.516988550741
p1,1830,Jul,179.867180531142
p1,1830,Aug,447.842612295241
p1,1830,Sep,534.073351011644
p1,1830,Oct,355.042406331788
p1,1830,Nov,248.455579695963
p1,1830,Dec,114.257136722737
p1,1831,Jan,75.5389107294221
p1,1831,Feb,61.8396644545614
p1,1831,Mar,52.4245974267208
p1,1831,Apr,28.7329620707228
p1,1831,May,97.6859632073788
p1,1831,Jun,168.90610224137
p1,1831,Jul,207.822428175416
